state,n,f_hz,kappa_ba,qfi,N_basis,converged,loss_config,eta,scaling_exponent
coherent,1.0,30.0,1.0547108260943505,3.2723780291074864,40,True,ba2_detection,0.9,-1.2869131320734261e-08
coherent,2.0,30.0,1.0547108260943505,3.272378335180229,40,True,ba2_detection,0.9,-1.2869131320734261e-08
coherent,5.0,30.0,1.0547108260943505,3.272378028012186,70,True,ba2_detection,0.9,-1.2869131320734261e-08
coherent,10.0,30.0,1.0547108260943505,3.2723780390184585,100,True,ba2_detection,0.9,-1.2869131320734261e-08
sqz_vac,1.0,30.0,1.0547108260943505,0.6650530952786755,70,True,ba2_detection,0.9,-0.8469144808493517
sqz_vac,2.0,30.0,1.0547108260943505,0.3972609056313443,100,True,ba2_detection,0.9,-0.8469144808493517
sqz_vac,5.0,30.0,1.0547108260943505,0.18098349858536286,175,True,ba2_detection,0.9,-0.8469144808493517
sqz_vac,10.0,30.0,1.0547108260943505,0.0949946220581473,318,True,ba2_detection,0.9,-0.8469144808493517
cat,1.0,30.0,1.0547108260943505,8.822043656977712,40,True,ba2_detection,0.9,-0.4321177932576757
cat,2.0,30.0,1.0547108260943505,8.712306547690982,40,True,ba2_detection,0.9,-0.4321177932576757
cat,5.0,30.0,1.0547108260943505,5.134112024151026,70,True,ba2_detection,0.9,-0.4321177932576757
cat,10.0,30.0,1.0547108260943505,3.4388787627221236,100,True,ba2_detection,0.9,-0.4321177932576757
sqz_cat,1.0,30.0,1.0547108260943505,6.627585886348722,40,True,ba2_detection,0.9,0.16612696766561352
sqz_cat,2.0,30.0,1.0547108260943505,8.522673935912701,70,True,ba2_detection,0.9,0.16612696766561352
sqz_cat,5.0,30.0,1.0547108260943505,10.782958856415517,100,True,ba2_detection,0.9,0.16612696766561352
sqz_cat,10.0,30.0,1.0547108260943505,9.400158984763442,243,True,ba2_detection,0.9,0.16612696766561352
fock,1.0,30.0,1.0547108260943505,6.969257675877346,40,True,ba2_detection,0.9,0.37494134764344783
fock,2.0,30.0,1.0547108260943505,9.19504360785174,40,True,ba2_detection,0.9,0.37494134764344783
fock,5.0,30.0,1.0547108260943505,13.221821495458249,40,True,ba2_detection,0.9,0.37494134764344783
fock,10.0,30.0,1.0547108260943505,16.395781236682858,70,True,ba2_detection,0.9,0.37494134764344783
opt_fock_sup,1.0,30.0,1.0547108260943505,1.9891835970149396,40,True,ba2_detection,0.9,0.44178119339862676
opt_fock_sup,2.0,30.0,1.0547108260943505,6.976565642826718,40,True,ba2_detection,0.9,0.44178119339862676
opt_fock_sup,5.0,30.0,1.0547108260943505,4.6061784990801415,70,True,ba2_detection,0.9,0.44178119339862676
opt_fock_sup,10.0,30.0,1.0547108260943505,7.6236653853265866,70,True,ba2_detection,0.9,0.44178119339862676
